iter	Passed	Remaining
553	6454	16846
554	6465	16833
555	6476	16820
556	6483	16796
557	6495	16785
558	6506	16771
559	6517	16758
560	6528	16746
561	6539	16732
562	6550	16719
563	6561	16706
564	6572	16693
565	6583	16680
566	6595	16667
567	6606	16655
568	6617	16641
569	6628	16628
570	6639	16616
571	6650	16602
572	6661	16589
573	6672	16575
574	6682	16561
575	6694	16550
576	6703	16533
577	6715	16520
578	6725	16506
579	6737	16494
580	6748	16482
581	6759	16469
582	6770	16456
583	6782	16444
584	6793	16430
585	6798	16405
586	6810	16392
587	6821	16381
588	6832	16368
589	6843	16355
590	6855	16343
591	6865	16329
592	6876	16316
593	6887	16303
594	6898	16289
595	6909	16276
596	6920	16264
597	6931	16251
598	6942	16238
599	6954	16226
600	6965	16213
601	6977	16203
602	6990	16194
603	7002	16184
604	7014	16173
605	7026	16162
606	7037	16149
607	7048	16138
608	7060	16126
609	7071	16113
610	7076	16087
611	7087	16074
612	7099	16062
613	7110	16050
614	7121	16037
615	7132	16025
616	7144	16014
617	7155	16001
618	7162	15979
619	7173	15965
620	7184	15953
621	7195	15941
622	7206	15928
623	7217	15915
624	7228	15902
625	7239	15889
626	7250	15876
627	7259	15859
628	7270	15846
629	7277	15824
630	7287	15810
631	7298	15797
632	7308	15784
633	7320	15771
634	7331	15759
635	7342	15747
636	7349	15726
637	7361	15714
638	7372	15702
639	7383	15689
640	7394	15677
641	7407	15668
642	7418	15656
643	7429	15643
644	7441	15632
645	7452	15620
646	7464	15609
647	7475	15597
648	7487	15585
649	7492	15560
650	7499	15540
651	7510	15528
652	7521	15516
653	7533	15504
654	7544	15492
655	7556	15481
656	7567	15469
657	7579	15457
658	7590	15445
659	7601	15434
660	7613	15422
661	7624	15411
662	7636	15400
663	7647	15387
664	7659	15376
665	7671	15365
666	7682	15353
667	7694	15342
668	7705	15329
669	7715	15316
670	7727	15304
671	7739	15294
672	7749	15280
673	7760	15267
674	7770	15253
675	7781	15240
676	7792	15228
677	7803	15216
678	7815	15205
679	7826	15192
680	7838	15182
681	7849	15169
682	7859	15155
683	7870	15143
684	7882	15131
685	7893	15119
686	7904	15108
687	7915	15095
688	7927	15083
689	7938	15072
690	7950	15060
691	7961	15048
692	7972	15035
693	7983	15023
694	7994	15011
695	8005	14999
696	8016	14985
697	8027	14973
698	8038	14961
699	8047	14945
700	8059	14934
701	8068	14919
702	8080	14908
703	8091	14896
704	8103	14884
705	8114	14872
706	8125	14860
707	8136	14847
708	8147	14835
709	8158	14822
710	8169	14811
711	8180	14797
712	8190	14784
713	8201	14772
714	8212	14760
715	8224	14748
716	8234	14735
717	8245	14723
718	8257	14711
719	8267	14698
720	8279	14687
721	8290	14674
722	8301	14661
723	8307	14641
724	8318	14629
725	8330	14618
726	8341	14606
727	8352	14594
728	8363	14581
729	8374	14569
730	8384	14555
731	8396	14543
732	8407	14532
733	8417	14517
734	8428	14505
735	8439	14494
736	8446	14475
737	8457	14462
738	8468	14450
739	8479	14438
740	8491	14427
741	8502	14415
742	8513	14402
743	8524	14390
744	8535	14378
745	8546	14366
746	8557	14354
747	8568	14341
748	8578	14328
749	8590	14317
750	8601	14305
751	8612	14293
752	8623	14281
753	8629	14259
754	8640	14247
755	8651	14236
756	8663	14225
757	8674	14213
758	8685	14201
759	8697	14190
760	8709	14179
761	8720	14167
762	8731	14155
763	8742	14143
764	8753	14130
765	8763	14117
766	8773	14104
767	8783	14090
768	8794	14077
769	8804	14064
770	8815	14052
771	8826	14039
772	8837	14027
773	8848	14015
774	8859	14003
775	8870	13991
776	8881	13979
777	8892	13966
778	8903	13954
779	8914	13942
780	8925	13930
781	8936	13918
782	8947	13906
783	8952	13885
784	8962	13872
785	8969	13854
786	8980	13841
787	8991	13829
788	9002	13817
789	9013	13805
790	9024	13792
791	9035	13780
792	9045	13768
793	9056	13755
794	9067	13743
795	9078	13731
796	9088	13718
797	9099	13706
798	9110	13694
799	9121	13682
800	9132	13670
801	9142	13657
802	9154	13646
803	9165	13634
804	9175	13621
805	9186	13609
806	9195	13594
807	9206	13581
808	9216	13569
809	9227	13556
810	9238	13544
811	9249	13531
812	9259	13519
813	9270	13507
814	9281	13495
815	9292	13483
816	9303	13471
817	9314	13458
818	9323	13444
819	9335	13434
820	9347	13422
821	9358	13411
822	9369	13399
823	9380	13387
824	9391	13376
825	9402	13364
826	9413	13352
827	9425	13341
828	9436	13330
829	9448	13318
830	9460	13307
831	9471	13296
832	9482	13284
833	9492	13271
834	9503	13258
835	9513	13246
836	9524	13233
837	9534	13220
838	9544	13207
839	9554	13194
840	9560	13175
841	9570	13162
842	9581	13150
843	9591	13137
844	9603	13126
845	9615	13116
846	9622	13099
847	9633	13087
848	9645	13076
849	9657	13065
850	9668	13054
851	9680	13043
852	9691	13031
853	9702	13020
854	9714	13009
855	9726	12998
856	9737	12987
857	9749	12976
858	9760	12964
859	9771	12952
860	9782	12941
861	9792	12928
862	9803	12915
863	9813	12902
864	9823	12890
865	9835	12879
866	9847	12869
867	9858	12857
868	9869	12845
869	9880	12833
870	9891	12821
871	9902	12810
872	9913	12798
873	9924	12786
874	9935	12774
875	9947	12763
876	9958	12752
877	9969	12740
878	9980	12728
879	9991	12717
880	10003	12705
881	10014	12693
882	10025	12681
883	10036	12670
884	10047	12658
885	10058	12646
886	10069	12635
887	10080	12623
888	10091	12611
889	10102	12599
890	10113	12588
891	10124	12576
892	10136	12566
893	10148	12554
894	10159	12542
895	10171	12532
896	10182	12520
897	10193	12509
898	10204	12497
899	10215	12486
900	10227	12474
901	10238	12463
902	10251	12453
903	10262	12442
904	10274	12430
905	10278	12411
906	10289	12399
907	10299	12387
908	10310	12375
909	10321	12363
910	10332	12351
911	10342	12338
912	10354	12328
913	10365	12316
914	10377	12305
915	10389	12294
916	10400	12282
